shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
SHP0001,34.9833351059281,138.38109344244,58
SHP0001,34.9833395012489,138.381096124649,59
SHP0001,34.9833900474381,138.381114900112,60
SHP0001,34.9833351059281,138.381450176239,61
SHP0001,34.9833219199657,138.381525278091,62
SHP0001,34.9833175246449,138.381546735764,63
SHP0001,34.9832735714369,138.381833732128,64
SHP0001,34.9832779667577,138.382032215595,65
SHP0001,34.9832911527201,138.382222652435,66
SHP0001,34.9832713737765,138.382359445095,67
SHP0001,34.9832559901537,138.382413089275,68
SHP0001,34.9831263281902,138.382734954357,69
SHP0001,34.9829461200374,138.38319092989,70
SHP0001,34.9828889808671,138.383333086967,71
SHP0001,34.9828735972443,138.383376002312,72
SHP0001,34.9828406323383,138.383528888226,73
SHP0001,34.9828296440363,138.383641541004,74
SHP0001,34.9828208533947,138.3837890625,75
SHP0001,34.9828142604135,138.383872210979,76
SHP0001,34.9827922838095,138.384014368057,77
SHP0001,34.9827395399599,138.384204804897,78
SHP0001,34.9825483435052,138.384808301926,79
SHP0001,34.9828076674323,138.384950459003,80
SHP0001,34.9830713866802,138.385100662708,81
SHP0001,34.983141711813,138.385138213634,82
SHP0001,34.9833351059281,138.385242819786,83
SHP0001,34.9835609654722,138.385361339377,84
SHP0001,34.9837900216307,138.385481536388,85
SHP0001,34.9838801257071,138.385543227196,86
SHP0001,34.9840229736331,138.385677337646,87
SHP0001,34.9842559256354,138.385956287384,88
SHP0001,34.9845877723556,138.385956287384,89
SHP0001,34.9848998401323,138.385948240757,90
SHP0001,34.9849218167363,138.38664829731,91
SHP0001,34.9849328050383,138.386828005314,92
SHP0001,34.9849657699443,138.387042582035,93
SHP0001,34.9850031301711,138.387160599232,94
SHP0001,34.9850866320855,138.387404680252,95
SHP0001,34.9853744939483,138.387943804264,96
SHP0001,34.9854997726153,138.387849926949,97
SHP0001,34.9856241938661,138.388082784717,98
SHP0001,34.985895326389,138.388590216637,99
SHP0001,34.9857715597712,138.388667744282,100
SHP0001,34.9860491015199,138.38918030262,101
SHP0001,34.9863875040151,138.38980525732,102
SHP0001,34.9867237090915,138.390427529812,103
SHP0001,34.9869148845271,138.390770852566,104
SHP0001,34.9870906780311,138.391060531139,105
SHP0001,34.9873609605435,138.390856683254,106
SHP0001,34.9875960843551,138.390679657459,107
SHP0001,34.9876202559619,138.390663564205,108
SHP0001,34.9879696455511,138.390381932259,109
SHP0001,34.9882553099951,138.390145897865,110
SHP0001,34.9885937124903,138.38980525732,111
SHP0001,34.9886088120229,138.389789372244,112
SHP0001,34.9888410563696,138.389545045528,113
SHP0001,34.9889914452931,138.389386832714,114
SHP0001,34.9893342426259,138.389883041382,115
SHP0001,34.9894507058223,138.390049338341,116
SHP0001,34.9896748425398,138.390376567841,117
SHP0001,34.9900110476162,138.390848636627,118
SHP0001,34.9900330218042,138.390878140926,119
SHP0001,34.9902351843338,138.391165137291,120
SHP0001,34.9902417765902,138.391175866127,121
SHP0001,34.9904790978206,138.391519188881,122
SHP0001,34.9905801790854,138.391664028168,123
SHP0001,34.990617535205,138.391717672348,124
SHP0001,34.990628522299,138.391733765602,125
SHP0001,34.9907691571022,138.391934931278,126
SHP0001,34.9908240925722,138.39201271534,127
SHP0001,34.9909229764182,138.392152190208,128
SHP0001,34.991046031871,138.392329216003,129
SHP0001,34.9916019788274,138.393125832081,130
SHP0001,34.9916679013914,138.393053412437,131
SHP0001,34.9923952470142,138.392299711704,132
SHP0001,34.992792979817,138.391886651516,133
SHP0001,34.9929402068766,138.391736447811,134
SHP0001,34.9930083268594,138.391664028168,135
SHP0001,34.9931907126198,138.391473591328,136
SHP0001,34.9933269525854,138.391664028168,137
SHP0001,34.9935862480038,138.392034173012,138
SHP0001,34.993595037679,138.392050266266,139
SHP0001,34.9937993976274,138.392339944839,140
SHP0001,34.993913663405,138.39250087738,141
SHP0001,34.9940037575758,138.392632305622,142
SHP0001,34.9941553628007,138.39285492897,143
SHP0001,34.9951045433395,138.391870558262,144
SHP0001,34.9953000921079,138.391664028168,145
SHP0001,34.9954978380535,138.391462862492,146
SHP0001,34.995517612648,138.391441404819,147
SHP0001,34.9959812170316,138.390963971615,148
SHP0001,34.9961921460402,138.390773534775,149
SHP0001,34.9966030181715,138.39045971632,150
SHP0001,34.9966909052585,138.390389978886,151
SHP0001,34.9967231999069,138.390358299075,152
SHP0001,34.9970600310235,138.390027880669,153
SHP0001,34.9973083120441,138.389765024185,154
SHP0001,34.9974533257375,138.389555811882,155
SHP0001,34.9975192410527,138.38948071003,156
SHP0001,34.9978751837548,138.38918030262,157
SHP0001,34.9981212675981,138.38896304369,158
SHP0001,34.9984200836937,138.388684093952,159
SHP0001,34.9989518005696,138.388185203075,160
SHP0001,34.9991341662749,138.388016223907,161
SHP0001,34.9993320823603,138.387828500864,162
SHP0001,34.999439573902,138.387726545334,163
SHP0001,34.9994835174454,138.387686312199,164
SHP0001,34.9997713476551,138.387415409088,165
SHP0001,35.0000020512583,138.387214243412,166
SHP0001,35.0001009242311,138.387117683887,167
SHP0001,35.0006040778037,138.386626839638,168
SHP0001,35.0011182172622,138.386168181896,169
SHP0001,35.0016477369609,138.386994302273,170
SHP0001,35.001966327651,138.387487828732,171
SHP0001,35.0023068901128,138.388016223907,172
SHP0001,35.0024628896921,138.388273715973,173
SHP0001,35.0026848045866,138.38863581419,174
SHP0001,35.0028737618235,138.38896304369,175
SHP0001,35.0030033952767,138.388834297657,176
SHP0001,35.0030253646319,138.388815522194,177
SHP0001,35.003330738669,138.388520479202,178
SHP0001,35.0042292852961,138.387680947781,179
SHP0001,35.0040689090032,138.387450277805,180
SHP0001,35.003805276741,138.387415409088,181
SHP0001,35.0036800514164,138.387399315834,182
SHP0001,35.0034405854449,138.387367129326,183
SHP0001,35.0033680865728,138.387313485146,184
SHP0001,35.0032681843559,138.387178540419,185
SHP0002,35.0032681843559,138.387178540419,1
SHP0002,35.0033680865728,138.387313485146,2
SHP0002,35.0034405854449,138.387367129326,3
SHP0002,35.0036800514164,138.387399315834,4
SHP0002,35.003805276741,138.387415409088,5
SHP0002,35.0040689090032,138.387450277805,6
SHP0002,35.0042292852961,138.387680947781,7
SHP0002,35.003330738669,138.388520479202,8
SHP0002,35.0030253646319,138.388815522194,9
SHP0002,35.0030033952767,138.388834297657,10
SHP0002,35.0028737618235,138.38896304369,11
SHP0002,35.0026848045866,138.38863581419,12
SHP0002,35.0024628896921,138.388273715973,13
SHP0002,35.0023068901128,138.388016223907,14
SHP0002,35.001966327651,138.387487828732,15
SHP0002,35.0016477369609,138.386994302273,16
SHP0002,35.0011182172622,138.386168181896,17
SHP0002,35.0006040778037,138.386626839638,18
SHP0002,35.0001009242311,138.387117683887,19
SHP0002,35.0000020512583,138.387214243412,20
SHP0002,34.9997713476551,138.387415409088,21
SHP0002,34.9994835174454,138.387686312199,22
SHP0002,34.999439573902,138.387726545334,23
SHP0002,34.9993320823603,138.387828500864,24
SHP0002,34.9991341662749,138.388016223907,25
SHP0002,34.9989518005696,138.388185203075,26
SHP0002,34.9984200836937,138.388684093952,27
SHP0002,34.9981212675981,138.38896304369,28
SHP0002,34.9978751837548,138.38918030262,29
SHP0002,34.9975192410527,138.38948071003,30
