grid_id,stop_id,stop_name,walking_distance_m,walking_time_min,trips_per_hour,headway_min,avg_wait_min
3065,feed_shizuokacity_ryougouchi_20260401_20260630200904_o3_0,,680.34,8.16,2.0,30.0,15.0
3066,feed_shizuokacity_ryougouchi_20260401_20260630200904_o1_0,,359.63,4.32,2.0,30.0,15.0
3066,feed_shizuokacity_ryougouchi_20260401_20260630200904_o2_0,,84.23,1.01,2.0,30.0,15.0
3066,feed_shizuokacity_ryougouchi_20260401_20260630200904_o3_0,,820.49,9.85,2.0,30.0,15.0
3067,feed_shizuokacity_ryougouchi_20260401_20260630200904_t6_0,,737.25,8.85,4.0,15.0,7.5
3067,feed_shizuokacity_ryougouchi_20260401_20260630200904_t7_0,,475.16,5.7,6.0,10.0,5.0
3067,feed_shizuokacity_ryougouchi_20260401_20260630200904_o1_0,,428.17,5.14,2.0,30.0,15.0
3067,feed_shizuokacity_ryougouchi_20260401_20260630200904_o2_0,,703.56,8.44,2.0,30.0,15.0
3069,feed_shizuokacity_ryougouchi_20260401_20260630200904_t6_0,,339.61,4.08,4.0,15.0,7.5
3069,feed_shizuokacity_ryougouchi_20260401_20260630200904_t7_0,,601.69,7.22,6.0,10.0,5.0
3071,feed_shizuokacity_ryougouchi_20260401_20260630200904_t5_0,,281.63,3.38,2.0,30.0,15.0
3071,feed_shizuokacity_ryougouchi_20260401_20260630200904_z1_0,,227.18,2.73,2.0,30.0,15.0
3072,feed_shizuokacity_ryougouchi_20260401_20260630200904_t4_0,,802.66,9.63,2.333,25.71,12.86
3072,feed_shizuokacity_ryougouchi_20260401_20260630200904_t5_0,,157.03,1.88,2.0,30.0,15.0
3072,feed_shizuokacity_ryougouchi_20260401_20260630200904_z1_0,,211.49,2.54,2.0,30.0,15.0
3073,feed_shizuokacity_ryougouchi_20260401_20260630200904_t4_0,,802.66,9.63,2.333,25.71,12.86
3073,feed_shizuokacity_ryougouchi_20260401_20260630200904_t5_0,,157.03,1.88,2.0,30.0,15.0
3073,feed_shizuokacity_ryougouchi_20260401_20260630200904_z1_0,,211.49,2.54,2.0,30.0,15.0
3074,feed_shizuokacity_ryougouchi_20260401_20260630200904_t3_0,,254.67,3.06,2.333,25.71,12.86
3075,feed_shizuokacity_ryougouchi_20260401_20260630200904_t3_0,,67.37,0.81,2.333,25.71,12.86
3085,feed_shizuokacity_yui_kanbara_20260401_20260630200146_b28_0,,879.59,10.56,0.333,180.0,90.0
3086,feed_shizuokacity_yui_kanbara_20260401_20260630200146_b26_0,,735.4,8.82,0.333,180.0,90.0
3086,feed_shizuokacity_yui_kanbara_20260401_20260630200146_b27_0,,493.34,5.92,0.333,180.0,90.0
3086,feed_shizuokacity_yui_kanbara_20260401_20260630200146_b28_0,,567.91,6.81,0.333,180.0,90.0
3086,feed_shizuokacity_yui_kanbara_20260401_20260630200146_b29_0,,679.0,8.15,0.333,180.0,90.0
3086,feed_shizuokacity_yui_kanbara_20260401_20260630200146_b30_0,,899.26,10.79,0.333,180.0,90.0
3087,feed_shizuokacity_yui_kanbara_20260401_20260630200146_b23_0,,959.15,11.51,0.333,180.0,90.0
3087,feed_shizuokacity_yui_kanbara_20260401_20260630200146_b24_0,,595.35,7.14,0.333,180.0,90.0
3087,feed_shizuokacity_yui_kanbara_20260401_20260630200146_b25_0,,508.72,6.1,0.333,180.0,90.0
3087,feed_shizuokacity_yui_kanbara_20260401_20260630200146_b26_0,,236.6,2.84,0.333,180.0,90.0
3087,feed_shizuokacity_yui_kanbara_20260401_20260630200146_b27_0,,381.54,4.58,0.333,180.0,90.0
3087,feed_shizuokacity_yui_kanbara_20260401_20260630200146_b28_0,,592.24,7.11,0.333,180.0,90.0
3087,feed_shizuokacity_yui_kanbara_20260401_20260630200146_b29_0,,745.62,8.95,0.333,180.0,90.0
3088,feed_shizuokacity_yui_kanbara_20260401_20260630200146_b22_0,,744.15,8.93,0.333,180.0,90.0
3088,feed_shizuokacity_yui_kanbara_20260401_20260630200146_b23_0,,450.43,5.41,0.333,180.0,90.0
3088,feed_shizuokacity_yui_kanbara_20260401_20260630200146_b24_0,,86.63,1.04,0.333,180.0,90.0
3088,feed_shizuokacity_yui_kanbara_20260401_20260630200146_b25_0,,0.0,0.0,0.333,180.0,90.0
3088,feed_shizuokacity_yui_kanbara_20260401_20260630200146_b26_0,,314.96,3.78,0.333,180.0,90.0
3088,feed_shizuokacity_yui_kanbara_20260401_20260630200146_b27_0,,597.19,7.17,0.333,180.0,90.0
3088,feed_shizuokacity_yui_kanbara_20260401_20260630200146_b28_0,,807.89,9.69,0.333,180.0,90.0
3089,feed_shizuokacity_yui_kanbara_20260401_20260630200146_b10_2,,748.1,8.98,0.333,180.0,90.0
